City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
284,ar rutbah,33.0381,40.2848,25.77,37,0,3.69,IQ,1698225887
285,nelson bay,-32.7167,152.15,21.03,83,20,4.02,AU,1698225887
286,puerto san jose,13.9256,-90.8244,24.92,89,100,3.16,GT,1698225888
287,port elizabeth,-33.918,25.5701,21.29,58,20,3.09,ZA,1698225889
288,hithadhoo,-0.6,73.0833,27.43,79,22,7.52,MV,1698225681
289,haiku-pauwela,20.9219,-156.3051,24.47,79,20,2.57,US,1698225890
290,gobabis,-22.45,18.9667,33.95,6,0,6.83,NA,1698225890
291,dapa,9.7594,126.0531,28.71,74,100,3.28,PH,1698225798
292,gizo,-8.103,156.8419,27.84,79,100,2.54,SB,1698225891
293,berezovo,63.9381,65.0419,-3.9,87,100,4.25,RU,1698225892
294,kingscliff,-28.2667,153.5667,23.86,78,0,8.23,AU,1698225892
295,ray,23.6833,85.05,28.43,59,81,3.51,IN,1698225893
296,portland,45.5234,-122.6762,9.23,95,75,3.09,US,1698225440
297,akrehamn,59.2667,5.1833,8.14,49,0,6.17,NO,1698225894
298,cuyo,10.8525,121.0086,29.1,70,70,0.97,PH,1698225895
299,westport,41.1415,-73.3579,12.9,88,0,1.54,US,1698225785
300,bodo,67.28,14.405,3.86,76,0,8.75,NO,1698225896
301,ottawa,45.4112,-75.6981,11.51,95,100,1.54,CA,1698225670
302,oranjemund,-28.55,16.4333,21.47,54,0,4.96,NA,1698225897
303,hammerfest,70.6634,23.6821,-1.75,69,0,3.09,NO,1698225898
304,wildwood,38.5828,-90.6629,21.75,57,0,3.6,US,1698225898
305,nemuro,43.3236,145.575,12.73,84,6,2.46,JP,1698225899
306,whitehorse,60.7161,-135.0538,-6.57,63,100,1.54,CA,1698225900
307,ghadamis,30.1337,9.5007,31.43,14,100,5.08,LY,1698225900
308,la'ie,21.6477,-157.9253,24.12,81,2,1.54,US,1698225901
309,mokwa,9.2833,5.05,30.2,62,100,1.59,NG,1698225902
310,funadhoo,6.15,73.2667,28.26,73,90,3.81,MV,1698225902
311,vadso,70.0744,29.7487,-1.91,69,0,5.14,NO,1698225903
312,glendive,47.1053,-104.7125,-2.21,100,100,7.2,US,1698225904
313,merritt,50.1123,-120.7942,-0.38,68,100,4.92,CA,1698225904
314,porto novo,6.4965,2.6036,29.9,69,99,3.29,BJ,1698225905
315,huaibei,33.9744,116.7917,25.46,34,6,2.54,CN,1698225906
316,wongsorejo,-7.9908,114.4009,29.58,65,51,2.05,ID,1698225906
317,ribeira brava,32.65,-17.0667,24.84,75,50,1.56,PT,1698225907
318,itoman,26.1247,127.6694,26.43,69,75,6.69,JP,1698225907
319,ouargaye,11.5033,0.0572,31.47,36,55,2.64,BF,1698225908
320,las heras,-46.5419,-68.9359,8.46,56,6,7.89,AR,1698225909
321,roma,43.2128,-75.4557,15.46,66,100,2.57,US,1698225819
322,rongelap,11.1635,166.8941,28.53,78,45,7.2,MH,1698225677
323,katsuura,35.1333,140.3,18.7,67,100,1.38,JP,1698225910
324,dudinka,69.4058,86.1778,-8.51,96,100,1.34,RU,1698225911
325,pisco,-13.7,-76.2167,19.03,88,100,3.09,PE,1698225868
326,ntungamo,-0.8833,29.65,29.09,45,100,2.25,UG,1698225913
327,haapsalu,58.9431,23.5414,1.62,72,100,6.2,EE,1698225913
328,bani walid,31.7566,13.9942,30.82,22,100,5.48,LY,1698225914
329,slatina,44.4333,24.3667,23.03,39,53,4.78,RO,1698225914
330,tura,25.5198,90.2201,26.25,79,13,0.42,IN,1698225915
331,timbuktu,16.7735,-3.0074,32.51,10,41,5.43,ML,1698225916
332,keflavik,64.0049,-22.5624,7.95,81,75,6.69,IS,1698225916
333,novaya igirma,57.1334,103.9112,0.88,46,100,4.4,RU,1698225917
334,marsh harbour,26.5412,-77.0636,25.42,64,82,9.16,BS,1698225917
335,izluchinsk,60.9794,76.9242,-0.56,78,100,1.36,RU,1698225918
336,santa ana de yacuma,-13.75,-65.4333,28.59,58,82,3.18,BO,1698225918
337,ballina,-28.8667,153.5667,23.03,73,4,9.77,AU,1698225919
338,mejit,10.2753,170.8646,27.9,80,30,5.19,MH,1698225677
339,pathein,16.7833,94.7333,29.6,74,47,2.92,MM,1698225920
340,bahia de caraquez,-0.6,-80.4167,24.1,85,100,3.18,EC,1698225921
341,emiliano zapata,18.8333,-99.1833,23.15,77,100,0.79,MX,1698225921
342,kudahuvadhoo,2.6708,72.8944,28.27,75,74,5.6,MV,1698225922
343,torghay,49.6339,63.4981,12.35,68,90,9.01,KZ,1698225923
344,kuta,-8.7233,115.1723,30.97,66,20,2.57,ID,1698225923
345,dodola,6.9833,39.1833,19.03,65,93,3.48,ET,1698225924
346,colonia,50.9333,6.95,11.87,88,20,5.14,DE,1698225760
